source_roi,target_roi,presence_rate
paracentral-lh (-0.26),caudalmiddlefrontal-rh (-0.38),0.0
paracentral-lh (-0.29),caudalmiddlefrontal-rh (-0.38),0.0
paracentral-rh (-0.22),caudalmiddlefrontal-rh (-0.38),0.0
parahippocampal-lh (-0.39),caudalmiddlefrontal-rh (-0.38),0.0
parahippocampal-rh,caudalmiddlefrontal-rh (-0.38),0.0
parahippocampal-rh (-0.28),caudalmiddlefrontal-rh (-0.38),0.0
parsopercularis-lh,caudalmiddlefrontal-rh (-0.38),0.0
parsopercularis-rh (-0.22),caudalmiddlefrontal-rh (-0.38),0.0
parsorbitalis-rh (-0.28),caudalmiddlefrontal-rh (-0.38),0.0
parstriangularis-lh,caudalmiddlefrontal-rh (-0.38),0.0
parstriangularis-rh,caudalmiddlefrontal-rh (-0.38),0.0
pericalcarine-rh,caudalmiddlefrontal-rh (-0.38),0.0
posteriorcingulate-lh,caudalmiddlefrontal-rh (-0.38),0.0
posteriorcingulate-rh,caudalmiddlefrontal-rh (-0.38),0.0
precentral-lh,caudalmiddlefrontal-rh (-0.38),0.0
precentral-rh (-0.26),caudalmiddlefrontal-rh (-0.38),0.0
precuneus-lh,caudalmiddlefrontal-rh (-0.38),0.0
precuneus-rh,caudalmiddlefrontal-rh (-0.38),0.0
rostralanteriorcingulate-lh (-0.27),caudalmiddlefrontal-rh (-0.38),0.0
rostralanteriorcingulate-lh (-0.33),caudalmiddlefrontal-rh (-0.38),0.0
rostralanteriorcingulate-rh (-0.32),caudalmiddlefrontal-rh (-0.38),0.0
rostralmiddlefrontal-lh,caudalmiddlefrontal-rh (-0.38),0.0
rostralmiddlefrontal-rh (-0.29),caudalmiddlefrontal-rh (-0.38),0.0
superiorfrontal-lh (-0.25),caudalmiddlefrontal-rh (-0.38),0.0
superiorparietal-lh (-0.34),caudalmiddlefrontal-rh (-0.38),0.0
superiorparietal-rh,caudalmiddlefrontal-rh (-0.38),0.0
superiortemporal-lh,caudalmiddlefrontal-rh (-0.38),0.0
superiortemporal-rh (-0.32),caudalmiddlefrontal-rh (-0.38),0.0
supramarginal-lh (-0.36),caudalmiddlefrontal-rh (-0.38),0.0
temporalpole-lh (-0.21),caudalmiddlefrontal-rh (-0.38),0.0
temporalpole-rh (-0.30),caudalmiddlefrontal-rh (-0.38),0.0
bankssts-rh (-0.23),cuneus-lh,0.0
bankssts-rh (-0.29),cuneus-lh,0.9166666666666666
caudalanteriorcingulate-lh (-0.38),cuneus-lh,0.0
caudalanteriorcingulate-rh (-0.33),cuneus-lh,0.0
caudalmiddlefrontal-lh,cuneus-lh,0.9166666666666665
caudalmiddlefrontal-rh (-0.38),cuneus-lh,0.0
entorhinal-lh,cuneus-lh,0.8333333333333334
entorhinal-lh (-0.35),cuneus-lh,0.0
entorhinal-rh,cuneus-lh,0.9166666666666667
entorhinal-rh (-0.27),cuneus-lh,0.9166666666666666
frontalpole-rh (-0.28),cuneus-lh,0.0
fusiform-rh (-0.23),cuneus-lh,0.5833333333333334
fusiform-rh (-0.24),cuneus-lh,0.0
inferiorparietal-lh,cuneus-lh,0.8582677165354331
inferiorparietal-rh (-0.26),cuneus-lh,0.0
inferiortemporal-lh (-0.29),cuneus-lh,0.0
inferiortemporal-lh (-0.30),cuneus-lh,0.41666666666666674
insula-lh,cuneus-lh,0.8333333333333334
lateraloccipital-lh (-0.31),cuneus-lh,0.0
lateraloccipital-rh,cuneus-lh,0.5833333333333334
lateraloccipital-rh (-0.29),cuneus-lh,1.0
lateralorbitofrontal-lh,cuneus-lh,0.0
lateralorbitofrontal-lh (-0.27),cuneus-lh,0.0
lateralorbitofrontal-rh (-0.25),cuneus-lh,0.0
lingual-lh,cuneus-lh,0.8333333333333333
lingual-lh (-0.34),cuneus-lh,0.41666666666666674
lingual-rh (-0.28),cuneus-lh,0.41666666666666674
medialorbitofrontal-lh,cuneus-lh,0.9166666666666667
medialorbitofrontal-rh,cuneus-lh,0.9166666666666666
middletemporal-rh (-0.30),cuneus-lh,0.0
paracentral-lh (-0.26),cuneus-lh,0.5833333333333334
paracentral-lh (-0.29),cuneus-lh,0.0
paracentral-rh (-0.22),cuneus-lh,0.0
parahippocampal-lh (-0.39),cuneus-lh,0.0
parahippocampal-rh,cuneus-lh,0.9166666666666666
parahippocampal-rh (-0.28),cuneus-lh,0.9166666666666666
parsopercularis-lh,cuneus-lh,0.9166666666666665
