source,target,mean_diff,p,perms,rank,q
1,15,0.25,0.40472976351182444,20000,99,1.0
2,15,0.33333333333333337,0.09029548522573871,20000,13,1.0
3,15,0.0,1.0,20000,435,1.0
4,15,0.16666666666666674,0.6409179541022949,20000,186,1.0
5,15,0.08333333333333337,1.0,20000,398,1.0
6,15,0.33333333333333337,0.09429528523573821,20000,18,1.0
7,15,0.16666666666666663,0.5839208039598021,20000,127,1.0
8,15,0.16666666666666663,0.591320433978301,20000,151,1.0
9,15,0.16666666666666663,0.584520773961302,20000,128,1.0
10,15,0.0,1.0,20000,275,1.0
11,15,0.24999999999999994,0.4120293985300735,20000,104,1.0
12,15,0.25,0.37163141842907854,20000,86,1.0
13,15,0.16666666666666663,0.48132593370331483,20000,123,1.0
14,15,-0.08333333333333337,1.0,20000,343,1.0
16,15,0.08333333333333337,1.0,20000,415,1.0
17,15,0.16666666666666663,0.663616819159042,20000,197,1.0
18,15,0.16666666666666674,0.6409679516024199,20000,188,1.0
19,15,0.08333333333333326,1.0,20000,480,1.0
20,15,0.0,1.0,20000,461,1.0
21,15,0.25,0.3746312684365782,20000,90,1.0
22,15,0.08333333333333337,1.0,20000,499,1.0
0,16,-0.08333333333333337,1.0,20000,269,1.0
1,16,0.08333333333333326,1.0,20000,256,1.0
2,16,0.25,0.3657317134143293,20000,72,1.0
3,16,-0.08333333333333331,1.0,20000,436,1.0
4,16,0.0,1.0,20000,420,1.0
5,16,0.25,0.3183840807959602,20000,60,1.0
6,16,-0.25,0.3732313384330783,20000,88,1.0
7,16,0.16666666666666663,0.592320383980801,20000,158,1.0
8,16,-0.08333333333333337,1.0,20000,318,1.0
9,16,-0.16666666666666663,0.47477626118694066,20000,113,1.0
10,16,0.0,1.0,20000,276,1.0
11,16,-0.33333333333333337,0.18959052047397632,20000,31,1.0
12,16,0.33333333333333337,0.09344532773361332,20000,16,1.0
13,16,0.0,1.0,20000,349,1.0
14,16,0.0,1.0,20000,344,1.0
15,16,0.16666666666666663,0.592270386480676,20000,157,1.0
17,16,0.25,0.3152342382880856,20000,52,1.0
18,16,0.0,1.0,20000,453,1.0
19,16,0.0,1.0,20000,481,1.0
20,16,0.0,1.0,20000,462,1.0
21,16,0.33333333333333337,0.09629518524073796,20000,21,1.0
22,16,-0.16666666666666674,0.6371181440927953,20000,169,1.0
0,17,-0.16666666666666674,0.6419179041047948,20000,191,1.0
1,17,0.0,1.0,20000,257,1.0
2,17,-0.08333333333333337,1.0,20000,492,1.0
3,17,0.0,1.0,20000,437,1.0
4,17,-0.16666666666666663,0.5861706914654268,20000,132,1.0
5,17,0.0,1.0,20000,390,1.0
6,17,0.0,1.0,20000,368,1.0
7,17,0.0,1.0,20000,355,1.0
8,17,-0.08333333333333337,1.0,20000,319,1.0
9,17,-0.16666666666666663,0.591970401479926,20000,154,1.0
10,17,-0.25,0.3168341582920854,20000,57,1.0
